Date,Store,Product,Category,Quantity,UnitPrice,CostPerUnit,TotalSales,Profit
2024-01-01,Manchester,USB-C Cable,Accessories,3,1173.94,832.2,3521.82,1025.22
2024-01-02,Liverpool,Samsung Tab S9,Tablets,3,1301.94,924.89,3905.82,1131.15
2024-01-03,Birmingham,Xbox Controller,Gaming,4,1409.06,704.91,5636.24,2816.6
2024-01-04,London,PS5 Controller,Gaming,4,925.25,464.91,3701.0,1841.36
2024-01-05,Birmingham,Samsung S22,Smartphones,3,611.79,315.89,1835.37,887.7
2024-01-06,Liverpool,Amazon Fire HD,Tablets,4,896.77,462.96,3587.08,1735.24
2024-01-07,Manchester,PS5 Controller,Gaming,2,1424.35,1193.56,2848.7,461.58
2024-01-08,Birmingham,MacBook Air M1,Laptops,2,164.55,121.68,329.1,85.74
2024-01-09,Birmingham,USB-C Cable,Accessories,3,1365.79,806.6,4097.37,1677.57
2024-01-10,Manchester,MacBook Pro M2,Laptops,4,293.58,246.42,1174.32,188.64
2024-01-11,Newcastle,Samsung Buds,Accessories,2,1344.34,953.49,2688.68,781.7
2024-01-12,Leeds,AirPods Pro,Accessories,5,595.24,354.15,2976.2,1205.45
2024-01-13,Leeds,MacBook Air M1,Laptops,4,918.41,547.92,3673.64,1481.96
2024-01-14,Birmingham,PS5 Controller,Gaming,1,1480.59,1140.48,1480.59,340.11
2024-01-15,Liverpool,Samsung Tab S9,Tablets,1,1072.79,833.09,1072.79,239.7
2024-01-16,Birmingham,Xbox Controller,Gaming,2,191.49,153.59,382.98,75.8
2024-01-17,Liverpool,MacBook Air M1,Laptops,5,1099.82,795.33,5499.1,1522.45
2024-01-18,London,iPad 10,Tablets,3,197.0,147.68,591.0,147.96
2024-01-19,Manchester,Xbox Controller,Gaming,3,793.64,515.58,2380.92,834.18
2024-01-20,Birmingham,USB-C Cable,Accessories,3,66.52,48.08,199.56,55.32
2024-01-21,Liverpool,Gaming Headset,Gaming,5,388.95,250.34,1944.75,693.05
2024-01-22,Newcastle,Gaming Headset,Gaming,5,133.93,80.55,669.65,266.9
2024-01-23,Newcastle,Samsung Buds,Accessories,2,1216.02,877.59,2432.04,676.86
2024-01-24,Liverpool,Anker Charger,Accessories,4,296.12,240.57,1184.48,222.2
2024-01-25,London,HP Pavilion,Laptops,1,490.65,264.22,490.65,226.43
